Antibiotic,I,R,S,I+R+S,%R,Pathogen
chloramphenicol,8,86,108,202,42.57,Acinetobacter spp
ciprofloxacin,40,139,78,257,54.09,Acinetobacter spp
clindamycin,8,23,29,60,38.33,Acinetobacter spp
doxycycline,2,22,14,38,57.89,Acinetobacter spp
ertapenem,9,3,12,24,12.5,Acinetobacter spp
erythromycin,3,34,19,56,60.71,Acinetobacter spp
fosfomycin,0,0,3,3,0.0,Acinetobacter spp
gentamicin,13,112,95,220,50.91,Acinetobacter spp
imip,27,15,143,185,8.11,Acinetobacter spp
levofloxacin,8,27,18,53,50.94,Acinetobacter spp
linezolid,0,0,29,29,0.0,Acinetobacter spp
meropenem,21,17,55,93,18.28,Acinetobacter spp
nalidixic,4,27,0,31,87.1,Acinetobacter spp
nitrofurantoin,0,3,4,7,42.86,Acinetobacter spp
oxacilin,6,21,5,32,65.62,Acinetobacter spp
penicillin,3,28,3,34,82.35,Acinetobacter spp
piperacillin,48,135,100,283,47.7,Acinetobacter spp
rifampcin,0,0,6,6,0.0,Acinetobacter spp
streptomycin,0,3,0,3,100.0,Acinetobacter spp
tetracycline,0,54,36,90,60.0,Acinetobacter spp
trim,6,119,12,137,86.86,Acinetobacter spp
vanco,3,0,0,3,0.0,Acinetobacter spp
amikacin,0,0,28,28,0.0,Serratia spp
amoxicillin,0,4,4,8,50.0,Serratia spp
ampicillin,0,10,4,14,71.43,Serratia spp
azitreo,0,4,4,8,50.0,Serratia spp
cefepime,0,4,0,4,100.0,Serratia spp
cefixime,0,2,1,3,66.67,Serratia spp
cefotaxime,0,0,2,2,0.0,Serratia spp
cefoxtaxime,0,2,0,2,100.0,Serratia spp
ceftaz,0,8,3,11,72.73,Serratia spp
ceftriaxone,1,18,5,24,75.0,Serratia spp
cefuroxime,0,2,0,2,100.0,Serratia spp
chloramphenicol,0,6,6,12,50.0,Serratia spp
ciprofloxacin,2,14,11,27,51.85,Serratia spp
clindamycin,2,0,2,4,0.0,Serratia spp
doxycycline,0,2,3,5,40.0,Serratia spp
erythromycin,0,4,0,4,100.0,Serratia spp
gentamicin,2,12,11,25,48.0,Serratia spp
imip,1,4,26,31,12.9,Serratia spp
levofloxacin,4,0,10,14,0.0,Serratia spp
linezolid,0,0,2,2,0.0,Serratia spp
nalidixic,0,0,2,2,0.0,Serratia spp
nitrofurantoin,0,0,4,4,0.0,Serratia spp
oxacilin,1,0,0,1,0.0,Serratia spp
piperacillin,12,16,8,36,44.44,Serratia spp
tetracycline,2,1,4,7,14.29,Serratia spp
trim,0,15,4,19,78.95,Serratia spp
amikacin,2,2,37,41,4.88,Enterobacter spp
amoxicillin,7,21,10,38,55.26,Enterobacter spp
ampicillin,3,28,5,36,77.78,Enterobacter spp
azitreo,1,4,4,9,44.44,Enterobacter spp
cefepime,0,13,6,19,68.42,Enterobacter spp
cefixime,0,6,1,7,85.71,Enterobacter spp
cefotaxime,0,9,3,12,75.0,Enterobacter spp
cefoxitin,0,4,1,5,80.0,Enterobacter spp
cefoxtaxime,0,2,0,2,100.0,Enterobacter spp
ceftaz,6,24,7,37,64.86,Enterobacter spp
ceftriaxone,2,45,13,60,75.0,Enterobacter spp
cefuroxime,0,7,0,7,100.0,Enterobacter spp
chloramphenicol,1,22,32,55,40.0,Enterobacter spp
ciprofloxacin,9,43,26,78,55.13,Enterobacter spp
clindamycin,2,3,7,12,25.0,Enterobacter spp
doripenem,0,0,1,1,0.0,Enterobacter spp
doxycycline,1,4,4,9,44.44,Enterobacter spp
ertapenem,2,0,3,5,0.0,Enterobacter spp
erythromycin,0,9,3,12,75.0,Enterobacter spp
gentamicin,5,39,28,72,54.17,Enterobacter spp
imip,8,7,59,74,9.46,Enterobacter spp
levofloxacin,4,2,11,17,11.76,Enterobacter spp
linezolid,0,0,8,8,0.0,Enterobacter spp
meropenem,2,1,6,9,11.11,Enterobacter spp
nalidixic,1,4,2,7,57.14,Enterobacter spp
nitrofurantoin,0,0,4,4,0.0,Enterobacter spp
oxacilin,2,1,2,5,20.0,Enterobacter spp
penicillin,1,3,0,4,75.0,Enterobacter spp
piperacillin,16,29,23,68,42.65,Enterobacter spp
rifampcin,0,0,1,1,0.0,Enterobacter spp
tetracycline,2,11,10,23,47.83,Enterobacter spp
trim,1,52,9,62,83.87,Enterobacter spp
amikacin,0,0,2,2,0.0,Streptococcus pneumoniae
amoxicillin,4,3,0,7,42.86,Streptococcus pneumoniae
ampicillin,0,3,0,3,100.0,Streptococcus pneumoniae
azithromycin,0,0,1,1,0.0,Streptococcus pneumoniae
azitreo,0,5,0,5,100.0,Streptococcus pneumoniae
cefepime,0,0,1,1,0.0,Streptococcus pneumoniae
cefixime,0,2,0,2,100.0,Streptococcus pneumoniae
ceftaz,0,0,4,4,0.0,Streptococcus pneumoniae
ceftriaxone,0,3,5,8,37.5,Streptococcus pneumoniae
chloramphenicol,0,1,13,14,7.14,Streptococcus pneumoniae
ciprofloxacin,0,1,5,6,16.67,Streptococcus pneumoniae
clindamycin,0,0,7,7,0.0,Streptococcus pneumoniae
erythromycin,0,0,1,1,0.0,Streptococcus pneumoniae
gentamicin,0,4,4,8,50.0,Streptococcus pneumoniae
imip,0,0,7,7,0.0,Streptococcus pneumoniae
